average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.1196930872621,2.449489742783178,0,0,0,0.125,285.7319204277018,5.077909772702641,0.125,0.879150390625,0.08984375,284.360647175868,4.0,0.125,initial,-1,one_peer_exponential_dag_star,284.1196930872621,0.125,293.40074982862603,13.490737563232042
,243.74576919405186,4.242640687119285,0,0,0,0.25,246.5855332897546,7.281458067977201,0.25,0.75830078125,0.068359375,244.93671712361902,5.377936881542583,0.25,after_step,0,one_peer_exponential_dag_star,243.74576919405186,0.125,252.69744755339337,14.142135623730951
,162.7820628939196,6.48074069840786,0,0,0,0.5,168.4110745790212,11.475791959707095,0.5,0.5166015625,0.05615234375,168.45831624362972,11.745966692414834,0.5,after_step,1,one_peer_exponential_dag_star,165.00303027520434,0.125,173.88501948126526,15.874507866387544
18.708286933869708,18.708286933869708,18.708286933869708,0,8,0,1.0,18.708286933869708,18.708286933869708,1.0,0.048828125,0.048828125,18.708286933869708,18.708286933869708,1.0,after_step,2,one_peer_exponential_dag_star,18.708286933869708,1.0,18.708286933869708,18.708286933869708
18.708286933869708,18.708286933869708,18.708286933869708,0,8,0,1.0,18.708286933869708,18.708286933869708,1.0,0.048828125,0.048828125,18.708286933869708,18.708286933869708,1.0,after_step,3,one_peer_exponential_dag_star,18.708286933869708,1.0,18.708286933869708,18.708286933869708
