average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.17248283392956,1.4142135623730951,0,0,0,0.125,284.8340964650002,3.7552550566102583,0.125,0.8759765625,0.05859375,284.5346973951308,3.602879500955848,0.125,initial,-1,generated:sparse_peer_exchange,287.09231964648586,0.125,287.09231964648586,6.48074069840786
,243.5200197109059,2.8284271247461903,0,0,0,0.25,244.6545141150725,5.523471886258288,0.25,0.751953125,0.0439453125,244.16592718028159,4.216036573298686,0.25,after_step,0,generated:sparse_peer_exchange,244.16387939250964,0.125,246.85218248984552,10.954451150103322
,162.43768035772982,4.0,0,0,0,0.5,164.2861282761473,7.686734791433706,0.5,0.50390625,0.033203125,164.50883711609887,6.723362500354605,0.5,after_step,1,generated:sparse_peer_exchange,163.59095329510126,0.125,165.62004709575467,13.416407864998739
11.832159566199232,11.832159566199232,4.0,0,1,0,1.0,145.460438177206,8.436885750352948,0.5625,0.44482421875,0.03369140625,164.50883711609887,8.807886552931954,0.5,after_step,2,generated:sparse_peer_exchange,11.832159566199232,0.125,165.62004709575467,13.416407864998739
