average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,283.9471781863662,2.0,0,0,0,0.125,284.4132660551553,4.102603283222797,0.125,0.875,0.06640625,284.3764962877634,4.077258687480592,0.125,initial,-1,generated:sparse_peer_exchange,284.4679243781274,0.125,284.94560884491625,6.6332495807108
,243.30639120253295,4.0,0,0,0,0.25,243.95504569164478,6.901127919772364,0.25,0.75,0.060546875,243.9958904525468,6.782329983125268,0.25,after_step,0,generated:sparse_peer_exchange,243.33105021759965,0.125,244.44222221212112,10.954451150103322
,162.1480804696744,5.656854249492381,0,0,0,0.5,163.20162693537745,11.367602332870327,0.5,0.5,0.05078125,163.08586692475973,11.242640687119284,0.5,after_step,1,generated:sparse_peer_exchange,162.48076809271922,0.125,164.38369748852836,17.60681686165901
21.540659228538015,21.540659228538015,5.656854249492381,0,1,0,1.0,145.5841133273548,13.353077955251031,0.5625,0.44384765625,0.0537109375,163.08586692475973,14.14142842854285,0.5,after_step,2,generated:sparse_peer_exchange,163.0828010551695,0.125,164.38369748852836,21.540659228538015
