average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,142.5833089811006,1.4142135623730951,0,0,0,0.125,143.64392640340853,1.9057544565747544,0.125,0.87939453125,0.0546875,143.9025939253515,2.0,0.125,initial,-1,one_peer_exponential_dag_star,142.97552238058094,0.125,144.40221604947757,2.449489742783178
,122.71104269787622,1.7320508075688772,0,0,0,0.25,124.0787832279713,2.6761664736184527,0.25,0.7587890625,0.048828125,124.0745440985254,2.6389584337646843,0.25,after_step,0,one_peer_exponential_dag_star,123.09346042743294,0.125,125.23977004130916,3.3166247903554
,83.33066662399864,2.449489742783178,0,0,0,0.5,84.99495131645583,4.162244585183747,0.5,0.517578125,0.0419921875,85.14105942493316,4.2976207903086205,0.5,after_step,1,one_peer_exponential_dag_star,84.10707461325711,0.125,86.51011501552867,5.385164807134504
6.48074069840786,6.48074069840786,6.48074069840786,0,8,0,1.0,6.48074069840786,6.48074069840786,1.0,0.03515625,0.03515625,6.48074069840786,6.48074069840786,1.0,after_step,2,one_peer_exponential_dag_star,6.48074069840786,1.0,6.48074069840786,6.48074069840786
6.48074069840786,6.48074069840786,6.48074069840786,0,8,0,1.0,6.48074069840786,6.48074069840786,1.0,0.03515625,0.03515625,6.48074069840786,6.48074069840786,1.0,after_step,3,one_peer_exponential_dag_star,6.48074069840786,1.0,6.48074069840786,6.48074069840786
