average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,278.0107911574657,2.8284271247461903,0,0,0,0.125,282.9260500967963,5.009427471576077,0.125,0.868896484375,0.091796875,282.0637794296823,4.581275857411505,0.125,initial,-1,mesh_star,282.21977251780214,0.125,288.0902636327719,7.483314773547883
284.00352110493276,278.0107911574657,278.0107911574657,0,8,0,1.0,282.88705182476633,282.88705182476633,1.0,0.868896484375,0.868896484375,281.9077863415624,281.9077863415624,1.0,after_step,0,mesh_star,281.9077863415624,0.25,288.0902636327719,288.0902636327719
284.00352110493276,278.0107911574657,278.0107911574657,0,8,0,1.0,282.88705182476633,282.88705182476633,1.0,0.868896484375,0.868896484375,281.9077863415624,281.9077863415624,1.0,after_step,1,mesh_star,281.9077863415624,0.25,288.0902636327719,288.0902636327719
