average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,281.9219750214587,2.8284271247461903,0,0,0,0.125,285.4769901852249,4.992785260902488,0.125,0.878173828125,0.0859375,284.3940913744592,3.81720680758398,0.125,initial,-1,tree,284.1196930872621,0.125,293.40074982862603,13.490737563232042
,243.68422189382719,2.8284271247461903,0,0,0,0.25,266.6851321197775,6.191968173845303,0.1875,0.81982421875,0.0830078125,268.6503677978002,4.357388321059432,0.125,after_step,0,tree,243.74987179483807,0.125,293.40074982862603,13.490737563232042
,162.73291000900832,2.8284271247461903,0,0,0,0.5,246.41207567503508,6.632132841410539,0.25,0.757080078125,0.07568359375,264.1563384440915,4.357388321059432,0.125,after_step,1,tree,162.73291000900832,0.125,293.40074982862603,13.490737563232042
16.3707055437449,16.3707055437449,2.8284271247461903,0,1,0,1.0,226.9875033144193,7.039111403303151,0.3125,0.696533203125,0.072509765625,264.1563384440915,4.357388321059432,0.125,after_step,2,tree,162.73291000900832,0.125,293.40074982862603,16.3707055437449
