step_idx,phase,topology,agent_id,active_sender,active_receiver,known_sources,known_source_count,coverage_ratio,normalized_l1_error,rmse,exact_match,sent_count,received_count,Topology,Agents,Seed
4,after_step,chain,4,True,False,"[0, 1, 2, 3, 4]",5,0.625,0.375,2.3049945770001283,False,1,0,chain,8,1
4,after_step,chain,5,False,True,"[0, 1, 2, 3, 4, 5]",6,0.75,0.25,1.6685322891691368,False,0,1,chain,8,1
4,after_step,chain,6,False,False,[6],1,0.125,0.875,4.85025772511111,False,0,0,chain,8,1
4,after_step,chain,7,False,False,[7],1,0.125,0.875,4.815080477001397,False,0,0,chain,8,1
5,after_step,chain,0,False,False,[0],1,0.125,0.875,4.838491500457555,False,0,0,chain,8,1
5,after_step,chain,1,False,False,"[0, 1]",2,0.25,0.75,4.204283529925164,False,0,0,chain,8,1
5,after_step,chain,2,False,False,"[0, 1, 2]",3,0.375,0.625,3.5691735738122907,False,0,0,chain,8,1
5,after_step,chain,3,False,False,"[0, 1, 2, 3]",4,0.5,0.5,2.9546573405388314,False,0,0,chain,8,1
5,after_step,chain,4,False,False,"[0, 1, 2, 3, 4]",5,0.625,0.375,2.3049945770001283,False,0,0,chain,8,1
5,after_step,chain,5,True,False,"[0, 1, 2, 3, 4, 5]",6,0.75,0.25,1.6685322891691368,False,1,0,chain,8,1
5,after_step,chain,6,False,True,"[0, 1, 2, 3, 4, 5, 6]",7,0.875,0.125,1.0114346246792225,False,0,1,chain,8,1
5,after_step,chain,7,False,False,[7],1,0.125,0.875,4.815080477001397,False,0,0,chain,8,1
6,after_step,chain,0,False,False,[0],1,0.125,0.875,4.838491500457555,False,0,0,chain,8,1
6,after_step,chain,1,False,False,"[0, 1]",2,0.25,0.75,4.204283529925164,False,0,0,chain,8,1
6,after_step,chain,2,False,False,"[0, 1, 2]",3,0.375,0.625,3.5691735738122907,False,0,0,chain,8,1
6,after_step,chain,3,False,False,"[0, 1, 2, 3]",4,0.5,0.5,2.9546573405388314,False,0,0,chain,8,1
6,after_step,chain,4,False,False,"[0, 1, 2, 3, 4]",5,0.625,0.375,2.3049945770001283,False,0,0,chain,8,1
6,after_step,chain,5,False,False,"[0, 1, 2, 3, 4, 5]",6,0.75,0.25,1.6685322891691368,False,0,0,chain,8,1
6,after_step,chain,6,True,False,"[0, 1, 2, 3, 4, 5, 6]",7,0.875,0.125,1.0114346246792225,False,1,0,chain,8,1
6,after_step,chain,7,False,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.0,0.0,True,0,1,chain,8,1
-1,initial,chain,0,False,False,[0],1,0.0626,0.9374,5.151019316601327,False,0,0,chain,16,1
-1,initial,chain,1,False,False,[1],1,0.0626,0.9374,5.145774965930788,False,0,0,chain,16,1
-1,initial,chain,2,False,False,[2],1,0.0626,0.9374,5.141108829814829,False,0,0,chain,16,1
-1,initial,chain,3,False,False,[3],1,0.0626,0.9374,5.15315437377923,False,0,0,chain,16,1
-1,initial,chain,4,False,False,[4],1,0.0626,0.9374,5.14946599173157,False,0,0,chain,16,1
-1,initial,chain,5,False,False,[5],1,0.0626,0.9374,5.141886813223333,False,0,0,chain,16,1
-1,initial,chain,6,False,False,[6],1,0.0626,0.9374,5.15412456194066,False,0,0,chain,16,1
-1,initial,chain,7,False,False,[7],1,0.0626,0.9374,5.152378091716485,False,0,0,chain,16,1
-1,initial,chain,8,False,False,[8],1,0.0624,0.9376,5.15150463457037,False,0,0,chain,16,1
-1,initial,chain,9,False,False,[9],1,0.0624,0.9376,5.134783344991296,False,0,0,chain,16,1
-1,initial,chain,10,False,False,[10],1,0.0624,0.9376,5.1495630882629255,False,0,0,chain,16,1
-1,initial,chain,11,False,False,[11],1,0.0624,0.9376,5.151698748956503,False,0,0,chain,16,1
-1,initial,chain,12,False,False,[12],1,0.0624,0.9376,5.149174691151972,False,0,0,chain,16,1
-1,initial,chain,13,False,False,[13],1,0.0624,0.9376,5.1613951602255765,False,0,0,chain,16,1
-1,initial,chain,14,False,False,[14],1,0.0624,0.9376,5.133030294085551,False,0,0,chain,16,1
-1,initial,chain,15,False,False,[15],1,0.0624,0.9376,5.146260778468188,False,0,0,chain,16,1
0,after_step,chain,0,True,False,[0],1,0.0626,0.9374,5.151019316601327,False,1,0,chain,16,1
0,after_step,chain,1,False,True,"[0, 1]",2,0.1252,0.8748,4.837768080427171,False,0,1,chain,16,1
0,after_step,chain,2,False,False,[2],1,0.0626,0.9374,5.141108829814829,False,0,0,chain,16,1
0,after_step,chain,3,False,False,[3],1,0.0626,0.9374,5.15315437377923,False,0,0,chain,16,1
0,after_step,chain,4,False,False,[4],1,0.0626,0.9374,5.14946599173157,False,0,0,chain,16,1
0,after_step,chain,5,False,False,[5],1,0.0626,0.9374,5.141886813223333,False,0,0,chain,16,1
0,after_step,chain,6,False,False,[6],1,0.0626,0.9374,5.15412456194066,False,0,0,chain,16,1
0,after_step,chain,7,False,False,[7],1,0.0626,0.9374,5.152378091716485,False,0,0,chain,16,1
0,after_step,chain,8,False,False,[8],1,0.0624,0.9376,5.15150463457037,False,0,0,chain,16,1
