average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,283.8520741513086,0.0,2,0,0,0.125,287.135156835128,3.7511709854324087,0.125,0.8826904296875,0.0830078125,287.72378800062415,4.949489742783178,0.125,initial,-1,tree,284.5487655921213,0.125,289.63597842809514,5.477225575051661
,246.4710936398019,0.0,1,0,0,0.25,267.9710212592644,5.432682707914455,0.1875,0.8236083984375,0.07861328125,268.3608028641826,5.195261067860983,0.125,after_step,0,tree,283.8520741513086,0.125,287.95138478569606,9.1104335791443
,168.34488409215172,0.0,1,0,0,0.5,248.8572311476511,6.974352560535432,0.25,0.7647705078125,0.076416015625,267.1977417818648,5.384364098590421,0.125,after_step,1,tree,178.56371411907853,0.125,287.95138478569606,16.64331697709324
25.475478405713993,25.475478405713993,0.0,1,1,0,1.0,229.72120168348053,8.078372739113027,0.3125,0.7056884765625,0.0738525390625,267.1977417818648,5.384364098590421,0.125,after_step,2,tree,25.475478405713993,0.125,287.95138478569606,25.475478405713993
