average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.80519658180395,4.242640687119285,0,0,0,0.125,288.37490585863844,5.308466721099488,0.125,0.8861083984375,0.1064453125,288.00173547272334,5.336688998879147,0.125,initial,-1,mesh_star,288.0208325798674,0.125,291.23530005821755,7.0710678118654755
46.238512086787566,33.76388603226827,33.76388603226827,0,8,0,1.0,48.450677394994855,48.450677394994855,1.0,0.137939453125,0.137939453125,43.9219001061085,43.9219001061085,1.0,after_step,0,mesh_star,41.60528812542944,0.125,69.15923654870693,69.15923654870693
46.238512086787566,33.76388603226827,33.76388603226827,0,8,0,1.0,48.450677394994855,48.450677394994855,1.0,0.137939453125,0.137939453125,43.9219001061085,43.9219001061085,1.0,after_step,1,mesh_star,41.60528812542944,0.125,69.15923654870693,69.15923654870693
