average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.3202419807637,2.8284271247461903,0,0,0,0.125,285.33647438002725,4.469624850079634,0.125,0.877197265625,0.078125,284.93332526946335,3.732050807568877,0.125,initial,-1,generated:pairwise_reduce_then_star,284.6014757516201,0.125,287.1689398246266,9.16515138991168
,244.18026128252055,3.1622776601683795,0,0,0,0.25,265.485412267001,5.973354144250995,0.1875,0.81591796875,0.0771484375,266.681203542695,4.685557720282968,0.125,after_step,0,generated:pairwise_reduce_then_star,287.1689398246266,0.125,287.1689398246266,11.135528725660043
245.16525039246488,244.18026128252055,3.1622776601683795,0,1,0,1.0,265.485412267001,36.15130326996236,0.28125,0.81591796875,0.166015625,266.681203542695,6.055041018247167,0.125,after_step,1,generated:pairwise_reduce_then_star,287.1689398246266,0.125,287.1689398246266,245.16525039246488
245.16525039246488,244.18026128252055,3.1622776601683795,0,5,0,1.0,245.4266450275379,155.9168951123851,0.71875,0.752197265625,0.4921875,245.16525039246488,245.16525039246488,0.25,after_step,2,generated:pairwise_reduce_then_star,245.16525039246488,0.625,249.0421651046264,245.16525039246488
