average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,287.46478045144937,3.4641016151377544,0,0,0,0.125,288.9270129434153,5.6799067147957745,0.125,0.88818359375,0.11328125,288.0677003290824,5.173635004657905,0.125,initial,-1,tree,290.8539152220578,0.125,291.18379075765876,8.12403840463596
,250.5873101336139,4.47213595499958,0,0,0,0.25,270.99064936005914,8.056318392738005,0.1875,0.832763671875,0.1162109375,270.9624967257194,8.363181835839294,0.125,after_step,0,tree,290.3583992241313,0.125,291.18379075765876,10.954451150103322
,179.81101189860425,4.47213595499958,0,0,0,0.5,252.69788055821536,10.270654920475966,0.25,0.7763671875,0.11328125,270.2847509306914,8.363181835839294,0.125,after_step,1,tree,179.81101189860425,0.125,291.18379075765876,20.0
37.54996671103717,37.54996671103717,4.47213595499958,0,1,0,1.0,234.91524990976947,12.700554474821258,0.3125,0.720947265625,0.1142578125,270.2847509306914,8.363181835839294,0.125,after_step,2,tree,37.54996671103717,0.125,291.18379075765876,37.54996671103717
