average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.854348746864,3.7416573867739413,0,0,0,0.125,288.1440035178691,4.828614567363019,0.125,0.8853759765625,0.1025390625,288.00173547272334,4.621320343559642,0.125,initial,-1,tree,288.0208325798674,0.125,291.38977332775426,6.6332495807108
,250.10797668207226,3.7416573867739413,0,0,0,0.25,269.9038209339751,6.62544965277795,0.1875,0.8289794921875,0.09716796875,269.93241724954214,7.058282177129341,0.125,after_step,0,tree,288.0208325798674,0.125,291.38977332775426,9.1104335791443
,176.61823235442031,3.7416573867739413,0,0,0,0.5,251.53006171136644,8.719212855727847,0.25,0.77197265625,0.098388671875,269.93241724954214,7.732505223519324,0.125,after_step,1,tree,288.0208325798674,0.125,291.38977332775426,15.968719422671311
30.04995840263344,30.04995840263344,3.7416573867739413,0,1,0,1.0,233.2090274673931,10.506955687554074,0.3125,0.7149658203125,0.0980224609375,269.93241724954214,7.732505223519324,0.125,after_step,2,tree,30.04995840263344,0.125,291.38977332775426,30.04995840263344
