average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.7735942814923,3.7416573867739413,0,0,0,0.125,287.63571594178615,4.760706734748787,0.125,0.884765625,0.1015625,287.6403925113988,4.47213595499958,0.125,initial,-1,mesh_star,290.6509934612301,0.125,290.6509934612301,6.782329983125268
37.8021163428716,30.364452901377952,30.364452901377952,0,8,0,1.0,37.639763271139074,37.639763271139074,1.0,0.1080322265625,0.1080322265625,34.659867407052914,34.659867407052914,1.0,after_step,0,mesh_star,30.364452901377952,0.125,61.35144660071187,61.35144660071187
37.8021163428716,30.364452901377952,30.364452901377952,0,8,0,1.0,37.639763271139074,37.639763271139074,1.0,0.1080322265625,0.1080322265625,34.659867407052914,34.659867407052914,1.0,after_step,1,mesh_star,30.364452901377952,0.125,61.35144660071187,61.35144660071187
