average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,283.74988986782006,2.0,0,0,0,0.125,284.11168929148823,3.341268162673603,0.125,0.875,0.0546875,284.1196783501378,2.995352392457285,0.125,initial,-1,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.4538626912983,5.477225575051661
,243.5528690038366,2.449489742783178,0,0,0,0.25,263.94189333655555,4.5232706896479336,0.1875,0.8125,0.05078125,263.8667479372266,4.121320343559642,0.125,after_step,0,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.4538626912983,7.615773105863909
,162.9969324864735,2.449489742783178,0,0,0,0.5,243.75562782011795,5.307608111834543,0.25,0.75,0.04931640625,263.6698545155506,4.738612787525831,0.125,after_step,1,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.4538626912983,8.602325267042627
15.427248620541512,15.427248620541512,2.449489742783178,0,1,0,1.0,225.2833598892123,6.267768352850378,0.3125,0.69189453125,0.04931640625,263.6698545155506,4.738612787525831,0.125,after_step,2,generated:hybrid_reduce_audit,15.427248620541512,0.125,284.4538626912983,15.427248620541512
