average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,142.55525244620065,1.4142135623730951,0,0,0,0.125,143.0208840039156,2.3086781366224587,0.125,0.87744140625,0.0625,142.63940532282896,2.449489742783178,0.125,initial,-1,tree,142.64641600825448,0.125,144.6789549312546,3.4641016151377544
,122.37646832622684,1.4142135623730951,0,0,0,0.25,133.28924833990482,3.0484751488506445,0.1875,0.8173828125,0.060546875,133.4973841841838,2.995352392457285,0.125,after_step,0,tree,142.71650219929018,0.125,144.6789549312546,4.898979485566356
,82.18272324521742,1.4142135623730951,0,0,0,0.5,123.41614378816617,3.8376495227055187,0.25,0.75634765625,0.0615234375,133.4973841841838,2.995352392457285,0.125,after_step,1,tree,142.71650219929018,0.125,144.6789549312546,8.717797887081348
12.884098726725126,12.884098726725126,1.4142135623730951,0,1,0,1.0,114.75381572335462,4.3584371276609915,0.3125,0.701171875,0.06103515625,133.4973841841838,2.995352392457285,0.125,after_step,2,tree,142.71650219929018,0.125,144.6789549312546,12.884098726725126
