average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.4855005092527,2.0,0,0,0,0.125,284.88015859045015,3.1010288987222276,0.125,0.875,0.0546875,284.91051088292653,3.1622776601683795,0.125,initial,-1,generated:two_layer_hybrid,285.18064450449646,0.125,285.18064450449646,4.0
,204.00980368599937,2.449489742783178,0,0,0,0.375,269.73219510215534,13.436161767134159,0.203125,0.828125,0.1259765625,284.73847225570887,3.3131896376530667,0.125,after_step,0,generated:two_layer_hybrid,285.18064450449646,0.125,285.18064450449646,83.916625289629
84.15461959987698,84.15461959987698,2.449489742783178,0,1,0,1.0,249.64106682211204,23.649302999270883,0.296875,0.765625,0.154296875,284.73847225570887,3.602879500955848,0.125,after_step,1,generated:two_layer_hybrid,285.18064450449646,0.125,285.18064450449646,84.15461959987698
