average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.2147075715822,2.8284271247461903,0,0,0,0.125,285.2395872709284,3.982671105312469,0.125,0.87744140625,0.07421875,284.5259162753049,3.602879500955848,0.125,initial,-1,mesh_star,284.5803928593817,0.125,287.70470972856873,6.0
12.12435565298214,11.74734012447073,11.74734012447073,0,8,0,1.0,12.507991921427765,12.507991921427765,1.0,0.030517578125,0.030517578125,11.74734012447073,11.74734012447073,1.0,after_step,0,mesh_star,11.74734012447073,0.875,17.832554500127006,17.832554500127006
12.12435565298214,11.74734012447073,11.74734012447073,0,8,0,1.0,12.507991921427765,12.507991921427765,1.0,0.030517578125,0.030517578125,11.74734012447073,11.74734012447073,1.0,after_step,1,mesh_star,11.74734012447073,0.875,17.832554500127006,17.832554500127006
