array_size,exact_match_rate,fallback_rate,full_coverage_wrong_answer_rate,generated_graph_rate,graph_search_mode,init_mode,mean_candidate_count,mean_messages,mean_model_calls,mean_parse_errors,mean_protocol_messages,mean_protocol_steps,mean_rejected_candidate_count,mean_retry_attempts,mean_rmse,mean_selected_candidate_score,mean_token_cost,merge_mode,method,n_agents,objective,planner_policy,run_count,seeds,skill_grounding_rate,std_rmse,topology_name,valid_plan_rate
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,8.0,15.0,0.0,8.0,3.0,0.0,0.0,9.695359714832659,-18.66750148256872,20009.0,llm_full_merge,self_evolved_free_dag_iter_3,8,balanced,free_graph,1,[101],0.0,0.0,generated:hybrid_reduce_audit,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,20.0,25.0,0.0,20.0,3.0,0.0,0.0,15.326394052399237,-16.144265814058667,35184.5,llm_full_merge,self_evolved_free_dag_iter_3,8,balanced,free_graph,2,"[102, 103]",0.0,4.012685553414477,generated:sparse_peer_exchange,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,7.0,13.0,0.0,7.0,2.0,0.0,0.0,17.72004514666935,-18.7422733807695,16576.0,llm_full_merge,self_evolved_free_dag_iter_3,8,balanced,free_graph,1,[104],0.0,0.0,generated:two_stage_merge,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,8.0,15.0,0.0,8.0,3.0,0.0,0.0,12.569805089976535,-14.98807896458376,19235.0,llm_full_merge,self_evolved_free_dag_iter_4,8,balanced,free_graph,1,[103],0.0,0.0,generated:hybrid_reduce_audit,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,7.0,13.0,0.0,7.0,2.0,0.0,0.0,16.983883837597496,-16.892927971636134,16731.0,llm_full_merge,self_evolved_free_dag_iter_4,8,balanced,free_graph,2,"[102, 104]",0.0,6.785844810411929,generated:pairwise_then_star,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,20.0,25.0,0.0,20.0,3.0,0.0,0.0,165.2573750245356,-15.921073673358219,35001.0,llm_full_merge,self_evolved_free_dag_iter_4,8,balanced,free_graph,1,[101],0.0,0.0,generated:sparse_peer_exchange,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,8.0,15.0,0.0,8.0,3.0,0.0,0.0,7.874007874011811,-17.94620576121231,19422.0,llm_full_merge,self_evolved_free_dag_iter_5,8,balanced,free_graph,1,[104],0.0,0.0,generated:hybrid_reduce_audit,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,20.0,25.0,0.0,20.0,3.0,0.0,0.0,14.226419929717814,-17.382801076737923,35752.666666666664,llm_full_merge,self_evolved_free_dag_iter_5,8,balanced,free_graph,3,"[101, 102, 103]",0.0,3.4557646500682195,generated:sparse_peer_exchange,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,8.0,15.0,0.0,8.0,3.0,0.0,0.0,7.874007874011811,-17.94620576121231,19422.0,llm_full_merge,self_evolved_free_dag_best_so_far,8,balanced,free_graph,1,[104],0.0,0.0,generated:hybrid_reduce_audit,1.0
1024,0.0,0.0,1.0,1.0,topk,llm_local_solve,4.0,20.0,25.0,0.0,20.0,3.0,0.0,0.0,14.226419929717814,-17.382801076737923,35752.666666666664,llm_full_merge,self_evolved_free_dag_best_so_far,8,balanced,free_graph,3,"[101, 102, 103]",0.0,3.4557646500682195,generated:sparse_peer_exchange,1.0
