average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.4187054326772,4.242640687119285,0,0,0,0.125,287.430961484049,5.4220813014127005,0.125,0.883544921875,0.103515625,287.6977136425904,4.894717636708107,0.125,initial,-1,one_peer_exponential_dag_star,291.20439557122074,0.125,291.20439557122074,7.483314773547883
,246.86838598735156,5.656854249492381,0,0,0,0.25,249.57070317373908,8.32889517584222,0.25,0.76708984375,0.0908203125,250.13795214921555,8.48446276619169,0.25,after_step,0,one_peer_exponential_dag_star,250.72295467308135,0.125,253.7282010340987,9.797958971132712
,168.86681142249356,13.490737563232042,0,0,0,0.5,173.98483932576505,15.159658386411435,0.5,0.5341796875,0.08544921875,174.02313111115203,14.864203854434646,0.5,after_step,1,one_peer_exponential_dag_star,175.8920123257449,0.125,178.84630272946657,17.72004514666935
28.142494558940577,28.142494558940577,28.142494558940577,0,8,0,1.0,28.142494558940577,28.142494558940577,1.0,0.08203125,0.08203125,28.142494558940577,28.142494558940577,1.0,after_step,2,one_peer_exponential_dag_star,28.142494558940577,1.0,28.142494558940577,28.142494558940577
28.142494558940577,28.142494558940577,28.142494558940577,0,8,0,1.0,28.142494558940577,28.142494558940577,1.0,0.08203125,0.08203125,28.142494558940577,28.142494558940577,1.0,after_step,3,one_peer_exponential_dag_star,28.142494558940577,1.0,28.142494558940577,28.142494558940577
