average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,284.59093450073215,2.8284271247461903,0,0,0,0.125,287.7463951707832,4.764314880015435,0.125,0.88525390625,0.09765625,287.81586901378387,4.794697622694892,0.125,initial,-1,mesh_star,290.66819571463265,0.125,290.66819571463265,6.928203230275509
50.51732376126036,38.0,38.0,0,8,0,1.0,53.3686130178442,53.3686130178442,1.0,0.154541015625,0.154541015625,52.73414306162674,52.73414306162674,1.0,after_step,0,mesh_star,38.0,0.125,66.16645675869307,66.16645675869307
50.51732376126036,38.0,38.0,0,8,0,1.0,53.3686130178442,53.3686130178442,1.0,0.154541015625,0.154541015625,52.73414306162674,52.73414306162674,1.0,after_step,1,mesh_star,38.0,0.125,66.16645675869307,66.16645675869307
