average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,281.9219750214587,2.0,0,0,0,0.125,285.4053083783638,5.090088868797939,0.125,0.8780517578125,0.0869140625,284.55578549736157,4.511042555592008,0.125,initial,-1,tree,284.1196930872621,0.125,293.40074982862603,13.490737563232042
,241.7891643560563,2.0,0,0,0,0.25,266.3814612218134,6.954397745672309,0.1875,0.8189697265625,0.08837890625,269.41291184923944,5.743903072168841,0.125,after_step,0,tree,243.73756378531397,0.125,293.40074982862603,14.52583904633395
,162.72676485446394,2.0,0,0,0,0.5,245.8374318900221,6.826962792050576,0.25,0.7554931640625,0.076416015625,264.11153214728336,6.23210073777805,0.125,after_step,1,tree,162.72676485446394,0.125,293.40074982862603,13.490737563232042
16.0312195418814,16.0312195418814,2.0,0,1,0,1.0,226.4393046392913,7.264619724018043,0.3125,0.6947021484375,0.0736083984375,264.11153214728336,6.23210073777805,0.125,after_step,2,tree,162.72676485446394,0.125,293.40074982862603,16.0312195418814
