average_rmse,best_agent_global_rmse,best_agent_rmse,exact_match_agents,full_coverage_agents,global_exact_match_agents,max_coverage,mean_agent_global_rmse,mean_agent_rmse,mean_coverage,mean_global_normalized_l1_error,mean_normalized_l1_error,median_agent_global_rmse,median_agent_rmse,min_coverage,phase,step_idx,topology,vote_rmse,vote_top_ratio,worst_agent_global_rmse,worst_agent_rmse
,283.7111206844032,2.0,0,0,0,0.125,284.10069811847893,3.11712429463159,0.125,0.875,0.05078125,284.1196783501378,2.8284271247461903,0.125,initial,-1,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.36244477778706,5.477225575051661
,243.52823244954578,2.449489742783178,0,0,0,0.25,263.92510273398494,4.444090485565262,0.1875,0.8125,0.0498046875,263.8473633455182,3.8708286933869704,0.125,after_step,0,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.36244477778706,7.483314773547883
,162.9723902997069,2.449489742783178,0,0,0,0.5,243.72936206782566,5.135438973494442,0.25,0.75,0.0478515625,263.6381535154462,4.6094414809128015,0.125,after_step,1,generated:hybrid_reduce_audit,284.2111890830479,0.125,284.36244477778706,7.745966692414834
14.696938456699069,14.696938456699069,2.449489742783178,0,1,0,1.0,225.16657128688482,6.020584642348838,0.3125,0.691650390625,0.047607421875,263.6381535154462,4.6094414809128015,0.125,after_step,2,generated:hybrid_reduce_audit,14.696938456699069,0.125,284.36244477778706,14.696938456699069
